Model,TBS2102B
Firmware Version,v1.31.14

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,1.6e-05,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,0.5
Label,,
TIME,CH1,CH2
-1.016e-02,-1.16,-1.24
-1.014e-02,-1.08,-1.2
-1.013e-02,-0.88,-1.14
-1.011e-02,-0.56,-1.1
-1.010e-02,-0.12,-1.06
-1.008e-02,0.32,-1.04
-1.006e-02,0.8,-1.04
-1.005e-02,1.28,-1.04
-1.003e-02,1.64,-1.04
-1.002e-02,1.92,-1.06
-1.000e-02,2.16,-1.04
-9.984e-03,2.28,-1.06
-9.968e-03,2.24,-1.04
-9.952e-03,2.08,-1.04
-9.936e-03,1.88,-1.02
-9.920e-03,1.56,-0.96
-9.904e-03,1.16,-0.9
-9.888e-03,0.72,-0.82
-9.872e-03,0.32,-0.74
-9.856e-03,-0.08,-0.62
-9.840e-03,-0.48,-0.5
-9.824e-03,-0.8,-0.36
-9.808e-03,-1.04,-0.22
-9.792e-03,-1.24,-0.08
-9.776e-03,-1.4,0.04
-9.760e-03,-1.48,0.18
-9.744e-03,-1.52,0.32
-9.728e-03,-1.52,0.44
-9.712e-03,-1.52,0.56
-9.696e-03,-1.52,0.66
-9.680e-03,-1.44,0.76
-9.664e-03,-1.32,0.86
-9.648e-03,-1.28,0.92
-9.632e-03,-1.08,0.98
-9.616e-03,-0.84,1.04
-9.600e-03,-0.56,1.06
-9.584e-03,-0.24,1.1
-9.568e-03,0.16,1.08
-9.552e-03,0.56,1.04
-9.536e-03,0.96,1
-9.520e-03,1.4,0.96
-9.504e-03,1.72,0.86
-9.488e-03,1.96,0.76
-9.472e-03,2.2,0.68
-9.456e-03,2.28,0.56
-9.440e-03,2.32,0.44
-9.424e-03,2.28,0.34
-9.408e-03,2.2,0.22
-9.392e-03,2.08,0.14
-9.376e-03,1.96,0.02
-9.360e-03,1.88,-0.08
-9.344e-03,1.76,-0.16
-9.328e-03,1.72,-0.26
-9.312e-03,1.64,-0.36
-9.296e-03,1.68,-0.46
-9.280e-03,1.72,-0.54
-9.264e-03,1.76,-0.64
-9.248e-03,1.84,-0.74
-9.232e-03,1.96,-0.84
-9.216e-03,2.08,-0.94
-9.200e-03,2.16,-1.04
-9.184e-03,2.24,-1.12
-9.168e-03,2.24,-1.22
-9.152e-03,2.24,-1.3
-9.136e-03,2,-1.38
-9.120e-03,1.72,-1.44
-9.104e-03,1.36,-1.48
-9.088e-03,0.88,-1.5
-9.072e-03,0.4,-1.5
-9.056e-03,-0.12,-1.48
-9.040e-03,-0.56,-1.46
-9.024e-03,-0.88,-1.38
-9.008e-03,-1.04,-1.32
-8.992e-03,-1.08,-1.26
-8.976e-03,-0.92,-1.16
-8.960e-03,-0.68,-1.1
-8.944e-03,-0.28,-1.04
-8.928e-03,0.16,-1
-8.912e-03,0.68,-0.96
-8.896e-03,1.12,-0.94
-8.880e-03,1.52,-0.92
-8.864e-03,1.88,-0.94
-8.848e-03,2.08,-0.9
-8.832e-03,2.24,-0.9
-8.816e-03,2.32,-0.9
-8.800e-03,2.28,-0.88
-8.784e-03,2.12,-0.84
-8.768e-03,1.88,-0.82
-8.752e-03,1.6,-0.76
-8.736e-03,1.32,-0.68
-8.720e-03,0.96,-0.6
-8.704e-03,0.56,-0.5
-8.688e-03,0.2,-0.4
-8.672e-03,-0.08,-0.28
-8.656e-03,-0.32,-0.16
-8.640e-03,-0.6,-0.06
-8.624e-03,-0.76,0.06
-8.608e-03,-0.88,0.2
-8.592e-03,-1,0.3
-8.576e-03,-1.04,0.42
-8.560e-03,-1.04,0.5
-8.544e-03,-0.96,0.6
-8.528e-03,-0.88,0.68
-8.512e-03,-0.76,0.76
-8.496e-03,-0.52,0.8
-8.480e-03,-0.32,0.84
-8.464e-03,-0.04,0.86
-8.448e-03,0.32,0.86
-8.432e-03,0.6,0.84
-8.416e-03,0.96,0.8
-8.400e-03,1.28,0.74
-8.384e-03,1.6,0.7
-8.368e-03,1.84,0.6
-8.352e-03,2.04,0.52
-8.336e-03,2.24,0.42
-8.320e-03,2.36,0.32
-8.304e-03,2.4,0.22
-8.288e-03,2.4,0.08
-8.272e-03,2.44,-0.02
-8.256e-03,2.4,-0.12
-8.240e-03,2.4,-0.22
-8.224e-03,2.36,-0.34
-8.208e-03,2.36,-0.46
-8.192e-03,2.36,-0.56
-8.176e-03,2.36,-0.68
-8.160e-03,2.36,-0.78
-8.144e-03,2.36,-0.9
-8.128e-03,2.32,-0.98
-8.112e-03,2.24,-1.06
-8.096e-03,2.12,-1.18
-8.080e-03,1.96,-1.24
-8.064e-03,1.68,-1.3
-8.048e-03,1.28,-1.36
-8.032e-03,0.84,-1.4
-8.016e-03,0.4,-1.4
-8.000e-03,-0.04,-1.4
-7.984e-03,-0.52,-1.38
-7.968e-03,-0.88,-1.36
-7.952e-03,-1.08,-1.3
-7.936e-03,-1.16,-1.24
-7.920e-03,-1.04,-1.2
-7.904e-03,-0.84,-1.14
-7.888e-03,-0.48,-1.1
-7.872e-03,-0.08,-1.06
-7.856e-03,0.36,-1.04
-7.840e-03,0.84,-1.02
-7.824e-03,1.32,-1.02
-7.808e-03,1.64,-1.04
-7.792e-03,1.96,-1.04
-7.776e-03,2.16,-1.06
-7.760e-03,2.24,-1.06
-7.744e-03,2.2,-1.04
-7.728e-03,2.08,-1.04
-7.712e-03,1.88,-1
-7.696e-03,1.56,-0.96
-7.680e-03,1.12,-0.92
-7.664e-03,0.68,-0.82
-7.648e-03,0.28,-0.72
-7.632e-03,-0.12,-0.6
-7.616e-03,-0.48,-0.48
-7.600e-03,-0.8,-0.34
-7.584e-03,-1.08,-0.2
-7.568e-03,-1.24,-0.06
-7.552e-03,-1.4,0.08
-7.536e-03,-1.48,0.2
-7.520e-03,-1.52,0.32
-7.504e-03,-1.52,0.46
-7.488e-03,-1.52,0.56
-7.472e-03,-1.48,0.68
-7.456e-03,-1.44,0.76
-7.440e-03,-1.4,0.86
-7.424e-03,-1.24,0.94
-7.408e-03,-1.04,1
-7.392e-03,-0.84,1.04
-7.376e-03,-0.52,1.06
-7.360e-03,-0.16,1.08
-7.344e-03,0.16,1.06
-7.328e-03,0.6,1.04
-7.312e-03,1.04,1
-7.296e-03,1.4,0.94
-7.280e-03,1.72,0.84
-7.264e-03,2.04,0.78
-7.248e-03,2.2,0.66
-7.232e-03,2.32,0.54
-7.216e-03,2.32,0.44
-7.200e-03,2.32,0.32
-7.184e-03,2.24,0.22
-7.168e-03,2.08,0.1
-7.152e-03,1.96,0.02
-7.136e-03,1.88,-0.08
-7.120e-03,1.76,-0.18
-7.104e-03,1.68,-0.3
-7.088e-03,1.68,-0.36
-7.072e-03,1.72,-0.46
-7.056e-03,1.72,-0.58
-7.040e-03,1.8,-0.68
-7.024e-03,1.88,-0.76
-7.008e-03,2,-0.86
-6.992e-03,2.08,-0.94
-6.976e-03,2.2,-1.04
-6.960e-03,2.28,-1.14
-6.944e-03,2.24,-1.22
-6.928e-03,2.16,-1.32
-6.912e-03,1.96,-1.4
-6.896e-03,1.68,-1.44
-6.880e-03,1.32,-1.48
-6.864e-03,0.84,-1.5
-6.848e-03,0.36,-1.5
-6.832e-03,-0.16,-1.48
-6.816e-03,-0.56,-1.42
-6.800e-03,-0.88,-1.36
-6.784e-03,-1.08,-1.3
-6.768e-03,-1.08,-1.22
-6.752e-03,-0.92,-1.18
-6.736e-03,-0.6,-1.1
-6.720e-03,-0.2,-1.04
-6.704e-03,0.24,-1.02
-6.688e-03,0.68,-0.96
-6.672e-03,1.16,-0.94
-6.656e-03,1.6,-0.92
-6.640e-03,1.92,-0.92
-6.624e-03,2.12,-0.92
-6.608e-03,2.28,-0.9
-6.592e-03,2.32,-0.9
-6.576e-03,2.28,-0.88
-6.560e-03,2.08,-0.84
-6.544e-03,1.84,-0.8
-6.528e-03,1.6,-0.76
-6.512e-03,1.28,-0.68
-6.496e-03,0.88,-0.6
-6.480e-03,0.56,-0.5
-6.464e-03,0.2,-0.4
-6.448e-03,-0.08,-0.28
-6.432e-03,-0.4,-0.14
-6.416e-03,-0.64,-0.02
-6.400e-03,-0.8,0.08
-6.384e-03,-0.92,0.2
-6.368e-03,-1,0.32
-6.352e-03,-1.04,0.42
-6.336e-03,-1.04,0.52
-6.320e-03,-0.96,0.62
-6.304e-03,-0.88,0.7
-6.288e-03,-0.72,0.76
-6.272e-03,-0.52,0.8
-6.256e-03,-0.28,0.84
-6.240e-03,0,0.86
-6.224e-03,0.36,0.88
-6.208e-03,0.64,0.84
-6.192e-03,0.96,0.8
-6.176e-03,1.32,0.74
-6.160e-03,1.6,0.68
-6.144e-03,1.88,0.6
-6.128e-03,2.08,0.5
-6.112e-03,2.28,0.4
-6.096e-03,2.36,0.32
-6.080e-03,2.4,0.18
-6.064e-03,2.44,0.08
-6.048e-03,2.4,-0.02
-6.032e-03,2.36,-0.14
-6.016e-03,2.36,-0.24
-6.000e-03,2.36,-0.34
-5.984e-03,2.36,-0.46
-5.968e-03,2.32,-0.58
-5.952e-03,2.36,-0.68
-5.936e-03,2.4,-0.8
-5.920e-03,2.32,-0.9
-5.904e-03,2.32,-0.98
-5.888e-03,2.28,-1.08
-5.872e-03,2.16,-1.16
-5.856e-03,1.92,-1.24
-5.840e-03,1.64,-1.3
-5.824e-03,1.2,-1.38
-5.808e-03,0.84,-1.4
-5.792e-03,0.4,-1.42
-5.776e-03,-0.08,-1.4
-5.760e-03,-0.52,-1.38
-5.744e-03,-0.88,-1.36
-5.728e-03,-1.08,-1.3
-5.712e-03,-1.16,-1.24
-5.696e-03,-1.04,-1.18
-5.680e-03,-0.8,-1.12
-5.664e-03,-0.44,-1.1
-5.648e-03,0,-1.06
-5.632e-03,0.4,-1.04
-5.616e-03,0.88,-1.04
-5.600e-03,1.32,-1.02
-5.584e-03,1.68,-1.04
-5.568e-03,2,-1.06
-5.552e-03,2.16,-1.04
-5.536e-03,2.24,-1.06
-5.520e-03,2.2,-1.04
-5.504e-03,2.08,-1.04
-5.488e-03,1.8,-1
-5.472e-03,1.44,-0.96
-5.456e-03,1.08,-0.9
-5.440e-03,0.64,-0.82
-5.424e-03,0.24,-0.7
-5.408e-03,-0.16,-0.6
-5.392e-03,-0.56,-0.48
-5.376e-03,-0.84,-0.32
-5.360e-03,-1.04,-0.2
-5.344e-03,-1.28,-0.06
-5.328e-03,-1.4,0.06
-5.312e-03,-1.44,0.2
-5.296e-03,-1.52,0.34
-5.280e-03,-1.52,0.46
-5.264e-03,-1.52,0.58
-5.248e-03,-1.48,0.7
-5.232e-03,-1.44,0.78
-5.216e-03,-1.36,0.88
-5.200e-03,-1.16,0.94
-5.184e-03,-1.04,1
-5.168e-03,-0.8,1.04
-5.152e-03,-0.48,1.08
-5.136e-03,-0.16,1.08
-5.120e-03,0.24,1.08
-5.104e-03,0.68,1.04
-5.088e-03,1.04,0.98
-5.072e-03,1.44,0.92
-5.056e-03,1.76,0.86
-5.040e-03,2.04,0.76
-5.024e-03,2.2,0.64
-5.008e-03,2.32,0.54
-4.992e-03,2.36,0.42
-4.976e-03,2.28,0.32
-4.960e-03,2.16,0.2
-4.944e-03,2.08,0.1
-4.928e-03,2,-0.02
-4.912e-03,1.84,-0.1
-4.896e-03,1.72,-0.2
-4.880e-03,1.68,-0.28
-4.864e-03,1.68,-0.38
-4.848e-03,1.68,-0.5
-4.832e-03,1.72,-0.58
-4.816e-03,1.8,-0.68
-4.800e-03,1.92,-0.76
-4.784e-03,2,-0.86
-4.768e-03,2.08,-0.96
-4.752e-03,2.2,-1.04
-4.736e-03,2.28,-1.14
-4.720e-03,2.24,-1.24
-4.704e-03,2.12,-1.32
-4.688e-03,1.96,-1.4
-4.672e-03,1.68,-1.44
-4.656e-03,1.24,-1.5
-4.640e-03,0.8,-1.5
-4.624e-03,0.32,-1.5
-4.608e-03,-0.2,-1.48
-4.592e-03,-0.6,-1.42
-4.576e-03,-0.92,-1.38
-4.560e-03,-1.12,-1.3
-4.544e-03,-1.08,-1.22
-4.528e-03,-0.88,-1.16
-4.512e-03,-0.56,-1.1
-4.496e-03,-0.16,-1.04
-4.480e-03,0.28,-1
-4.464e-03,0.76,-0.96
-4.448e-03,1.2,-0.94
-4.432e-03,1.6,-0.92
-4.416e-03,1.92,-0.92
-4.400e-03,2.16,-0.92
-4.384e-03,2.28,-0.9
-4.368e-03,2.32,-0.9
-4.352e-03,2.2,-0.88
-4.336e-03,2.04,-0.84
-4.320e-03,1.84,-0.8
-4.304e-03,1.56,-0.74
-4.288e-03,1.2,-0.68
-4.272e-03,0.84,-0.6
-4.256e-03,0.48,-0.48
-4.240e-03,0.2,-0.38
-4.224e-03,-0.16,-0.26
-4.208e-03,-0.4,-0.14
-4.192e-03,-0.64,-0.02
-4.176e-03,-0.8,0.1
-4.160e-03,-0.96,0.22
-4.144e-03,-1,0.32
-4.128e-03,-1,0.46
-4.112e-03,-1.04,0.52
-4.096e-03,-0.96,0.62
-4.080e-03,-0.84,0.7
-4.064e-03,-0.68,0.76
-4.048e-03,-0.48,0.8
-4.032e-03,-0.28,0.86
-4.016e-03,0.08,0.86
-4.000e-03,0.32,0.86
-3.984e-03,0.68,0.84
-3.968e-03,1,0.8
-3.952e-03,1.36,0.74
-3.936e-03,1.64,0.68
-3.920e-03,1.92,0.58
-3.904e-03,2.08,0.5
-3.888e-03,2.28,0.4
-3.872e-03,2.36,0.3
-3.856e-03,2.44,0.18
-3.840e-03,2.44,0.06
-3.824e-03,2.4,-0.04
-3.808e-03,2.4,-0.14
-3.792e-03,2.4,-0.26
-3.776e-03,2.36,-0.36
-3.760e-03,2.32,-0.46
-3.744e-03,2.32,-0.58
-3.728e-03,2.36,-0.7
-3.712e-03,2.36,-0.8
-3.696e-03,2.32,-0.9
-3.680e-03,2.32,-1
-3.664e-03,2.24,-1.1
-3.648e-03,2.12,-1.18
-3.632e-03,1.88,-1.26
-3.616e-03,1.56,-1.32
-3.600e-03,1.2,-1.36
-3.584e-03,0.76,-1.4
-3.568e-03,0.32,-1.4
-3.552e-03,-0.16,-1.42
-3.536e-03,-0.56,-1.38
-3.520e-03,-0.88,-1.34
-3.504e-03,-1.08,-1.28
-3.488e-03,-1.2,-1.24
-3.472e-03,-1.04,-1.18
-3.456e-03,-0.8,-1.12
-3.440e-03,-0.4,-1.1
-3.424e-03,0,-1.06
-3.408e-03,0.48,-1.04
-3.392e-03,0.92,-1.04
-3.376e-03,1.4,-1.04
-3.360e-03,1.76,-1.04
-3.344e-03,2,-1.04
-3.328e-03,2.2,-1.06
-3.312e-03,2.32,-1.06
-3.296e-03,2.24,-1.04
-3.280e-03,2.04,-1.02
